IATA,AIRPORT,CITY,STATE,COUNTRY,LATTITUDE,LONGITUDE,FLIGHTS
ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,329
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556,135
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,412
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,362
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,313
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,236
MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778,233
CLT,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,601
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,509
TPA,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325,588
EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,575
LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333,377
PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083,376
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225,128
SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131,549
LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917,149
MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,330
IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,625
SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,365
STL,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972,206
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583,614
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,472
MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556,368
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,242
SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,544
BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151
SNA,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,137
MSY,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,326
SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,280
DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,177
PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,352
RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667,281
PBI,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417,399
RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,390
HOU,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,454
SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778,529
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,665
MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,687
