Date,direction,direction1,direction2
1/1/2017,20,37,44
1/2/2017,6,60,35
1/3/2017,22,17,7
1/4/2017,22,35,15
1/5/2017,23,31,36
1/6/2017,27,36,30
1/7/2017,18,55,16
1/8/2017,10,49,10
1/9/2017,13,23,31
1/10/2017,17,19,17
1/11/2017,29,10,43
1/12/2017,29,59,35
1/13/2017,5,19,19
1/14/2017,9,11,35
1/15/2017,26,60,17
1/16/2017,29,51,37
1/17/2017,15,28,31
1/18/2017,18,17,7
1/19/2017,19,18,36
1/20/2017,22,17,19
1/21/2017,30,50,10
1/22/2017,12,59,36
1/23/2017,22,51,10
1/24/2017,9,24,23
1/25/2017,30,29,45
1/26/2017,27,32,27
1/27/2017,25,52,10
1/28/2017,16,6,41
1/29/2017,7,12,26
1/30/2017,28,43,38
1/31/2017,17,23,45
2/1/2017,29,14,7
2/2/2017,22,13,16
2/3/2017,10,19,11
2/4/2017,14,60,22
2/5/2017,21,11,45
2/6/2017,6,36,11
2/7/2017,30,25,31
2/8/2017,27,34,24
2/9/2017,13,50,24
2/10/2017,22,57,10
2/11/2017,8,59,45
2/12/2017,10,33,5
2/13/2017,12,50,45
2/14/2017,11,26,19
2/15/2017,5,13,34
2/16/2017,21,46,7
2/17/2017,14,33,13
2/18/2017,17,42,9
2/19/2017,28,45,34
2/20/2017,17,46,15
2/21/2017,21,6,18
2/22/2017,9,19,39
2/23/2017,15,8,22
2/24/2017,24,6,22
2/25/2017,26,27,17
2/26/2017,15,29,36
2/27/2017,23,11,25
2/28/2017,25,22,24
3/1/2017,19,18,21
3/2/2017,7,11,24
3/3/2017,13,55,9
3/4/2017,15,10,9
3/5/2017,20,14,17
3/6/2017,21,12,40
3/7/2017,10,41,29
3/8/2017,25,31,44
3/9/2017,19,51,37
3/10/2017,19,25,29
3/11/2017,29,9,26
3/12/2017,13,43,5
3/13/2017,26,42,26
3/14/2017,11,14,19
3/15/2017,12,43,17
3/16/2017,22,39,32
3/17/2017,7,52,15
3/18/2017,11,17,45
3/19/2017,24,17,40
3/20/2017,15,42,11
3/21/2017,24,17,24
3/22/2017,9,31,11
3/23/2017,22,25,17
3/24/2017,20,52,40
3/25/2017,29,42,26
3/26/2017,22,42,40
3/27/2017,7,49,12
3/28/2017,10,55,42
3/29/2017,25,7,29
3/30/2017,25,53,12
3/31/2017,29,5,16
4/1/2017,29,51,24
4/2/2017,9,24,17
4/3/2017,13,5,24
4/4/2017,30,16,15
4/5/2017,5,29,36
4/6/2017,8,60,27
4/7/2017,5,16,14
4/8/2017,10,35,44
4/9/2017,13,45,17
4/10/2017,19,56,27
4/11/2017,6,46,16
4/12/2017,9,22,31
4/13/2017,23,58,9
4/14/2017,21,9,25
4/15/2017,11,37,31
4/16/2017,12,58,11
4/17/2017,14,52,15
4/18/2017,25,36,43
4/19/2017,10,26,12
4/20/2017,11,11,44
4/21/2017,28,26,22
4/22/2017,14,45,39
4/23/2017,29,17,26
4/24/2017,23,26,29
4/25/2017,18,56,24
4/26/2017,18,48,21
4/27/2017,13,27,8
4/28/2017,8,35,26
4/29/2017,23,9,10
4/30/2017,16,40,43
5/1/2017,30,7,19
5/2/2017,9,6,28
5/3/2017,27,46,24
5/4/2017,21,6,20
5/5/2017,14,43,38
5/6/2017,16,20,38
5/7/2017,19,60,34
5/8/2017,25,40,6
5/9/2017,28,22,12
5/10/2017,24,14,38
5/11/2017,24,51,15
5/12/2017,13,38,26
5/13/2017,22,7,10
5/14/2017,25,36,5
5/15/2017,24,38,29
5/16/2017,30,13,21
5/17/2017,24,27,28
5/18/2017,19,45,30
5/19/2017,15,33,10
5/20/2017,24,45,40
5/21/2017,16,43,18
5/22/2017,28,60,38
5/23/2017,15,43,33
5/24/2017,19,21,45
5/25/2017,9,38,39
5/26/2017,14,51,22
5/27/2017,17,36,17
5/28/2017,26,13,7
5/29/2017,11,38,6
5/30/2017,10,31,23
5/31/2017,20,54,36
6/1/2017,13,39,34
6/2/2017,28,49,24
6/3/2017,16,37,11
6/4/2017,11,25,40
6/5/2017,10,14,45
6/6/2017,10,53,26
6/7/2017,9,6,8
6/8/2017,25,54,15
6/9/2017,21,54,33
6/10/2017,18,24,21
6/11/2017,27,59,44
6/12/2017,25,58,30
6/13/2017,29,36,31
6/14/2017,8,14,23
6/15/2017,25,18,5
6/16/2017,11,32,17
6/17/2017,6,46,16
6/18/2017,14,41,40
6/19/2017,21,35,42
6/20/2017,8,12,17
6/21/2017,26,6,6
6/22/2017,11,57,12
6/23/2017,28,31,38
6/24/2017,27,58,27
6/25/2017,28,38,43
6/26/2017,17,45,6
6/27/2017,14,51,8
6/28/2017,20,32,39
6/29/2017,12,52,30
6/30/2017,12,19,9
7/1/2017,28,28,44
7/2/2017,12,28,6
7/3/2017,18,18,7
7/4/2017,14,40,34
7/5/2017,11,39,38
7/6/2017,7,36,13
7/7/2017,12,51,35
7/8/2017,22,19,21
7/9/2017,22,57,26
7/10/2017,21,46,12
7/11/2017,9,57,5
7/12/2017,11,28,42
7/13/2017,7,53,34
7/14/2017,24,13,29
7/15/2017,10,60,20
7/16/2017,12,52,10
7/17/2017,27,53,33
7/18/2017,15,35,12
7/19/2017,10,47,28
7/20/2017,16,28,32
7/21/2017,13,24,40
7/22/2017,6,18,42
7/23/2017,5,12,7
7/24/2017,27,54,25
7/25/2017,8,23,39
7/26/2017,28,7,38
7/27/2017,10,18,21
7/28/2017,8,24,28
7/29/2017,20,23,7
7/30/2017,24,50,24
7/31/2017,8,44,7
8/1/2017,13,36,36
8/2/2017,23,52,5
8/3/2017,10,54,33
8/4/2017,10,9,16
8/5/2017,15,46,44
8/6/2017,30,45,42
8/7/2017,8,42,12
8/8/2017,8,47,43
8/9/2017,19,16,15
8/10/2017,10,40,9
8/11/2017,28,55,6
8/12/2017,14,26,21
8/13/2017,25,32,26
8/14/2017,30,10,8
8/15/2017,19,5,32
8/16/2017,14,17,9
8/17/2017,30,14,8
8/18/2017,26,60,30
8/19/2017,9,15,8
8/20/2017,25,9,17
8/21/2017,16,34,8
8/22/2017,15,54,32
8/23/2017,24,9,36
8/24/2017,17,42,11
8/25/2017,11,19,8
8/26/2017,16,27,19
8/27/2017,29,21,7
8/28/2017,19,21,14
8/29/2017,17,32,44
8/30/2017,22,52,43
8/31/2017,14,43,5
9/1/2017,8,39,35
9/2/2017,11,48,34
9/3/2017,14,46,17
9/4/2017,25,8,45
9/5/2017,11,54,10
9/6/2017,11,24,11
9/7/2017,10,53,44
9/8/2017,24,6,33
9/9/2017,25,10,28
9/10/2017,24,8,5
9/11/2017,10,35,10
9/12/2017,21,5,14
9/13/2017,25,55,40
9/14/2017,19,28,40
9/15/2017,8,41,18
9/16/2017,20,43,40
9/17/2017,21,48,12
9/18/2017,18,45,23
9/19/2017,5,21,27
9/20/2017,17,38,44
9/21/2017,26,54,27
9/22/2017,6,28,14
9/23/2017,13,17,15
9/24/2017,8,39,33
9/25/2017,8,14,35
9/26/2017,12,56,44
9/27/2017,13,55,25
9/28/2017,6,9,43
9/29/2017,29,22,16
9/30/2017,17,37,32
1/1/2017,7,54,34
1/2/2017,12,35,28
1/3/2017,5,46,27
1/4/2017,28,39,8
1/5/2017,6,55,40
1/6/2017,15,43,28
1/7/2017,17,54,28
1/8/2017,8,47,18
1/9/2017,30,48,21
1/10/2017,7,35,28
1/11/2017,5,50,20
1/12/2017,5,30,43
1/13/2017,30,25,39
1/14/2017,26,9,28
1/15/2017,28,36,12
1/16/2017,7,21,18
1/17/2017,23,55,37
1/18/2017,11,6,31
1/19/2017,9,16,8
1/20/2017,10,60,11
1/21/2017,23,34,42
1/22/2017,20,21,24
1/23/2017,17,30,9
1/24/2017,23,17,6
1/25/2017,27,53,18
1/26/2017,5,41,17
1/27/2017,30,14,36
1/28/2017,18,40,25
1/29/2017,18,40,19
1/30/2017,11,33,39
1/31/2017,15,34,30
2/1/2017,15,28,41
2/2/2017,21,18,18
2/3/2017,11,22,44
2/4/2017,23,15,12
2/5/2017,18,43,20
2/6/2017,26,60,40
2/7/2017,5,15,21
2/8/2017,25,14,16
2/9/2017,19,49,24
2/10/2017,25,32,13
2/11/2017,27,53,40
