Date,Weather_Delay,Security_Delay,Tech_Delay
2017-01-01,11,30,12
2017-01-02,19,18,8
2017-01-03,23,17,15
2017-01-04,21,28,17
2017-01-05,10,20,9
2017-01-06,11,24,20
2017-01-07,28,26,30
2017-01-08,21,18,23
2017-01-09,12,30,15
2017-01-10,16,25,26
2017-01-11,26,30,21
2017-01-12,15,16,16
2017-01-13,16,12,23
2017-01-14,24,22,18
2017-01-15,17,7,14
2017-01-16,12,29,14
2017-01-17,9,25,13
2017-01-18,13,12,10
2017-01-19,17,21,18
2017-01-20,11,15,13
2017-01-21,20,18,7
2017-01-22,18,12,7
2017-01-23,6,28,26
2017-01-24,27,10,15
2017-01-25,14,17,10
2017-01-26,27,9,16
2017-01-27,26,27,10
2017-01-28,30,15,12
2017-01-29,6,17,28
2017-01-30,9,12,23
2017-01-31,14,8,17
2017-02-01,9,20,5
2017-02-02,6,17,19
2017-02-03,10,10,27
2017-02-04,30,5,17
2017-02-05,30,5,20
2017-02-06,12,25,25
2017-02-07,21,15,14
2017-02-08,11,6,15
2017-02-09,7,22,12
2017-02-10,15,24,21
2017-02-11,7,5,22
2017-02-12,16,23,24
2017-02-13,23,8,23
2017-02-14,17,10,6
2017-02-15,19,26,12
2017-02-16,11,30,21
2017-02-17,25,9,8
2017-02-18,28,30,23
2017-02-19,14,12,24
2017-02-20,16,26,17
2017-02-21,14,27,15
2017-02-22,5,10,28
2017-02-23,10,24,8
2017-02-24,20,18,9
2017-02-25,29,21,17
2017-02-26,8,13,30
2017-02-27,14,7,19
2017-02-28,9,8,25
2017-03-01,23,9,15
2017-03-02,25,23,27
2017-03-03,8,28,6
2017-03-04,18,24,19
2017-03-05,29,17,15
2017-03-06,27,20,8
2017-03-07,17,8,10
2017-03-08,11,26,10
2017-03-09,30,6,17
2017-03-10,13,16,9
2017-03-11,12,9,25
2017-03-12,22,5,25
2017-03-13,6,9,30
2017-03-14,13,15,24
2017-03-15,10,16,24
2017-03-16,19,24,14
2017-03-17,11,30,17
2017-03-18,10,30,11
2017-03-19,28,25,12
2017-03-20,24,20,10
2017-03-21,13,10,24
2017-03-22,6,19,6
2017-03-23,24,8,27
2017-03-24,19,6,18
2017-03-25,12,7,28
2017-03-26,7,6,19
2017-03-27,20,7,5
2017-03-28,27,29,18
2017-03-29,5,30,22
2017-03-30,5,18,17
2017-03-31,11,10,13
2017-04-01,26,27,11
2017-04-02,27,6,27
2017-04-03,12,25,13
2017-04-04,29,29,11
2017-04-05,11,30,10
2017-04-06,16,8,20
2017-04-07,6,28,15
2017-04-08,16,11,14
2017-04-09,8,5,14
2017-04-10,27,19,28
2017-04-11,20,26,23
2017-04-12,20,28,20
2017-04-13,12,7,29
2017-04-14,5,22,24
2017-04-15,5,13,5
2017-04-16,5,26,25
2017-04-17,12,8,18
2017-04-18,12,28,14
2017-04-19,25,18,18
2017-04-20,10,26,17
2017-04-21,9,5,29
2017-04-22,15,9,6
2017-04-23,5,16,18
