Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,Weather,NAS,Security,Carrier
2016-01-01,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,6,17,33,15
2016-01-03,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,37,31,28
2016-01-05,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,16,40,28,19
2016-01-07,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,10,36,41,29
2016-01-09,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,43,25,18
2016-01-11,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,24,20,21
2016-01-13,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,38,34,16
2016-01-15,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,16,22,29,20
2016-01-17,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,23,34,17
2016-01-19,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,43,38,19
2016-01-21,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,13,22,32,8
2016-01-23,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,12,23,32,27
2016-01-25,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,20,42,35,16
2016-01-27,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,15,44,30,12
2016-01-29,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,34,35,17
2016-02-01,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,20,39,18
2016-02-03,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,15,37,28,12
2016-02-05,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,25,25,14
2016-02-07,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,12,32,35,1
2016-02-09,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,33,33,25
2016-02-11,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,35,25,5
2016-02-13,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,20,27,26,23
2016-02-15,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,16,38,28,20
2016-02-17,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,44,24,20
2016-02-19,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,12,39,26,11
2016-02-21,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,31,28,22
2016-02-23,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,38,25,3
2016-02-25,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,16,24,49,26
2016-02-27,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,18,23,34,18
2016-02-29,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,16,20,46,19
2016-03-01,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,43,30,7
2016-03-03,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,21,24,12
2016-03-05,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,18,21,26,15
2016-03-07,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,13,24,29,29
2016-03-09,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,17,40,34,12
2016-03-11,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,21,43,10
2016-03-13,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,12,38,33,7
2016-03-15,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,32,21,24
2016-03-17,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,13,27,35,11
2016-03-19,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,10,26,50,10
2016-03-21,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,10,25,27,7
2016-03-23,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,13,45,20,15
2016-03-25,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,10,38,29,10
2016-03-27,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,31,29,14
2016-03-29,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,15,21,28,3
2016-04-01,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,13,35,37,10
2016-04-03,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,18,37,29,6
2016-04-05,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,17,34,28,20
2016-04-07,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,18,38,27,18
2016-04-09,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,39,30,17
2016-04-11,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,17,34,27,2
2016-04-13,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,18,37,29,14
2016-04-15,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,16,22,33,6
2016-04-17,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,15,34,35,29
2016-04-19,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,20,26,9
2016-04-21,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,36,30,21
2016-04-23,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,16,37,29,18
2016-04-25,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,10,38,37,22
2016-04-27,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,13,42,34,19
2016-04-29,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,34,41,14
2016-05-01,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,17,30,35,2
2016-05-03,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,18,21,28,13
2016-05-05,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,10,29,27,10
2016-05-07,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,10,36,44,19
2016-05-09,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,15,41,27,4
2016-05-11,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,27,23,13
2016-05-13,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,20,30,33,5
2016-05-15,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,15,21,48,15
2016-05-17,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,17,35,32,16
2016-05-19,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,25,21,10
2016-05-21,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,15,43,34,9
2016-05-23,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,28,20,23
2016-05-25,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,30,32,1
2016-05-27,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,12,25,22,16
2016-05-29,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,17,28,34,5
2016-06-01,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,13,42,28,17
2016-06-03,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,17,31,35,6
2016-06-05,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,12,27,44,11
2016-06-07,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,15,36,28,4
2016-06-09,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,13,32,32,20
2016-06-11,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,15,35,34,11
2016-06-13,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,20,30,32,14
2016-06-15,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,20,37,28,19
2016-06-17,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,35,28,15
2016-06-19,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,20,33,34,7
2016-06-21,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,32,23,22
2016-06-23,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,44,35,2
2016-06-25,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,39,39,10
2016-06-27,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,18,30,35,2
2016-06-29,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,17,22,48,17
2016-01-01,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,11,36,28,14
2016-01-03,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,14,39,24,21
2016-01-05,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,14,30,27,19
2016-01-07,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,18,36,30,25
2016-01-09,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,14,31,33,6
2016-01-11,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,20,34,32,10
2016-01-13,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,16,44,34,12
2016-01-15,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,11,32,23,15
2016-01-17,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,14,24,35,13
2016-01-19,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,11,22,22,26
2016-01-21,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,19,38,33,16
2016-01-23,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,17,33,29,15
2016-01-25,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,17,26,31,7
2016-01-27,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,13,33,40,12
2016-01-29,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,19,42,29,7
2016-02-01,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,13,27,25,27
2016-02-03,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,18,42,25,17
2016-02-05,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,10,43,20,24
2016-02-07,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,19,36,29,12
2016-02-09,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,10,31,42,18
2016-02-11,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,16,33,27,10
2016-02-13,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,17,29,40,13
2016-02-15,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,18,27,29,1
2016-02-17,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,13,20,50,19
2016-02-19,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,18,34,28,16
2016-02-21,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,20,43,42,30
2016-02-23,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,15,20,25,3
2016-02-25,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,17,20,45,21
2016-02-27,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,12,24,32,14
2016-02-29,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,12,32,42,29
2016-03-01,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,14,32,34,7
2016-03-03,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,20,37,23,13
2016-03-05,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,11,39,27,20
2016-03-07,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,10,24,30,12
2016-03-09,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,10,37,35,7
2016-03-11,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,17,44,28,19
2016-03-13,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,13,35,32,1
2016-03-15,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,609,17,42,34,20
