Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,Weather,Security,Technical
1/1/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,6,15,20
1/3/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,7,43
1/5/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,17,17
1/7/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,17,42
1/9/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,0,18,36
1/11/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,12,36
1/13/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,15,27
1/15/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,13,23
1/17/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,16,20
1/19/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,11,17
1/21/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,6,5,36
1/23/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,12,26
1/25/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,1,5,29
1/27/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,17,5,22
1/29/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,4,8,29
2/1/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,13,45
2/3/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,16,18
2/5/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,17,6,22
2/7/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,2,14,16
2/9/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,13,6,45
2/11/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,5,50
2/13/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,7,26
2/15/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,5,33
2/17/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,11,8,45
2/19/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,8,28
2/21/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,15,13,23
2/23/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,15,39
2/25/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,11,36
2/27/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,6,10,43
2/29/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,17,13,41
3/1/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,19,22
3/3/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,17,12,36
3/5/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,6,44
3/7/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,13,10,33
3/9/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,9,8,39
3/11/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,9,35
3/13/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,13,16
3/15/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,19,16
3/17/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,2,11,16
3/19/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,10,21
3/21/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,8,38
3/23/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,11,17,19
3/25/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,1,16,32
3/27/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,14,32
3/29/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,9,20,16
4/1/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,11,19
4/3/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,8,22
4/5/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,13,17,20
4/7/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,19,20
4/9/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,14,5,22
4/11/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,6,27
4/13/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,13,28
4/15/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,0,19,44
4/17/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,14,11,48
4/19/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,6,6,17
4/21/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,9,14,47
4/23/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,1,19,23
4/25/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,7,49
4/27/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,2,5,27
4/29/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,11,17,23
5/1/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,5,7,48
5/3/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,7,19
5/5/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,7,37
5/7/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,13,11,42
5/9/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,6,49
5/11/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,12,27
5/13/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,16,40
5/15/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,15,8,39
5/17/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,4,5,47
5/19/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,19,34
5/21/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,2,8,41
5/23/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,19,46
5/25/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,2,13,18
5/27/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,16,11,34
5/29/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,0,9,18
6/1/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,9,14,40
6/3/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,7,26
6/5/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,8,12,40
6/7/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,8,29
6/9/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,11,5,39
6/11/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,3,16,26
6/13/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,15,16,31
6/15/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,10,18,30
6/17/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,12,15
6/19/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,2,20,21
6/21/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,12,16,40
6/23/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,16,19
6/25/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,7,20,37
6/27/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,6,10,18
6/29/2016,BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,151,13,17,42
