Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,Weather,NAS,Security,Carrier
2016-01-01,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,6,21,27,6
2016-01-03,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,27,29,30,20
2016-01-05,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,16,32,37,30
2016-01-07,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,18,35,42,22
2016-01-09,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,29,35,42,26
2016-01-11,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,25,28,44,19
2016-01-13,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,42,45,12
2016-01-15,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,34,45,19
2016-01-17,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,27,45,24
2016-01-19,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,30,39,33,18
2016-01-21,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,28,30,36,27
2016-01-23,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,16,41,35,15
2016-01-25,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,30,43,16
2016-01-27,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,23,27,32,10
2016-01-29,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,24,30,35,24
2016-01-31,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,24,36,19
2016-02-02,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,32,34,29
2016-02-04,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,39,32,16
2016-02-06,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,12,24,39,21
2016-02-08,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,10,39,40,11
2016-02-10,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,21,37,39,29
2016-02-12,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,16,42,44,16
2016-02-14,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,23,35,34,26
2016-02-16,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,21,33,24
2016-02-18,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,17,24,37,12
2016-02-20,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,22,37,35,30
2016-02-22,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,13,43,45,29
2016-02-24,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,24,20,32,16
2016-02-26,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,11,44,43,27
2016-02-28,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,18,38,31,23
2016-03-01,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,27,44,37,15
2016-03-03,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,16,29,42,16
2016-03-05,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,29,34,35,12
2016-03-07,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,33,32,29
2016-03-09,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,27,24,37,25
2016-03-11,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,23,24,32,18
2016-03-13,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,23,39,31,15
2016-03-15,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,18,44,39,21
2016-03-17,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,36,37,27
2016-03-19,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,13,40,40,26
2016-03-21,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,14,33,36,26
2016-03-23,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,10,29,42,18
2016-03-25,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,23,31,32,26
2016-03-27,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,26,41,30,17
2016-03-29,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,30,45,39,14
2016-03-31,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,28,39,37,24
2016-04-02,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,10,31,33,12
2016-04-04,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,21,45,34,15
2016-04-06,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,30,40,39,25
2016-04-08,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,19,38,44,27
2016-04-10,ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,237,20,32,38,15
