Date,AAPL.Open,AAPL.High,Max,Min
1/1/2016,ORD,Chicago O'Hare International,33,6
1/3/2016,ORD,Chicago O'Hare International,37,14
1/5/2016,ORD,Chicago O'Hare International,40,16
1/7/2016,ORD,Chicago O'Hare International,41,10
1/9/2016,ORD,Chicago O'Hare International,43,18
1/11/2016,ORD,Chicago O'Hare International,24,11
1/13/2016,ORD,Chicago O'Hare International,38,16
1/15/2016,ORD,Chicago O'Hare International,29,16
1/17/2016,ORD,Chicago O'Hare International,34,11
1/19/2016,ORD,Chicago O'Hare International,43,11
1/21/2016,ORD,Chicago O'Hare International,32,8
1/23/2016,ORD,Chicago O'Hare International,32,12
1/25/2016,ORD,Chicago O'Hare International,42,16
1/27/2016,ORD,Chicago O'Hare International,44,12
1/29/2016,ORD,Chicago O'Hare International,35,14
2/1/2016,ORD,Chicago O'Hare International,39,11
2/3/2016,ORD,Chicago O'Hare International,37,12
2/5/2016,ORD,Chicago O'Hare International,25,14
2/7/2016,ORD,Chicago O'Hare International,35,1
2/9/2016,ORD,Chicago O'Hare International,33,11
2/11/2016,ORD,Chicago O'Hare International,35,5
2/13/2016,ORD,Chicago O'Hare International,27,20
2/15/2016,ORD,Chicago O'Hare International,38,16
2/17/2016,ORD,Chicago O'Hare International,44,19
2/19/2016,ORD,Chicago O'Hare International,39,11
2/21/2016,ORD,Chicago O'Hare International,31,14
2/23/2016,ORD,Chicago O'Hare International,38,3
2/25/2016,ORD,Chicago O'Hare International,49,16
2/27/2016,ORD,Chicago O'Hare International,34,18
2/29/2016,ORD,Chicago O'Hare International,46,16
1/1/2016,ATL,William B Hartsfield-Atlanta Intl,36,11
1/3/2016,ATL,William B Hartsfield-Atlanta Intl,39,14
1/5/2016,ATL,William B Hartsfield-Atlanta Intl,30,14
1/7/2016,ATL,William B Hartsfield-Atlanta Intl,36,18
1/9/2016,ATL,William B Hartsfield-Atlanta Intl,33,6
1/11/2016,ATL,William B Hartsfield-Atlanta Intl,34,10
1/13/2016,ATL,William B Hartsfield-Atlanta Intl,44,12
1/15/2016,ATL,William B Hartsfield-Atlanta Intl,32,11
1/17/2016,ATL,William B Hartsfield-Atlanta Intl,35,13
1/19/2016,ATL,William B Hartsfield-Atlanta Intl,26,11
1/21/2016,ATL,William B Hartsfield-Atlanta Intl,38,16
1/23/2016,ATL,William B Hartsfield-Atlanta Intl,33,15
1/25/2016,ATL,William B Hartsfield-Atlanta Intl,31,7
1/27/2016,ATL,William B Hartsfield-Atlanta Intl,40,12
1/29/2016,ATL,William B Hartsfield-Atlanta Intl,42,7
2/1/2016,ATL,William B Hartsfield-Atlanta Intl,27,13
2/3/2016,ATL,William B Hartsfield-Atlanta Intl,42,17
2/5/2016,ATL,William B Hartsfield-Atlanta Intl,43,10
2/7/2016,ATL,William B Hartsfield-Atlanta Intl,36,12
2/9/2016,ATL,William B Hartsfield-Atlanta Intl,42,10
2/11/2016,ATL,William B Hartsfield-Atlanta Intl,33,10
2/13/2016,ATL,William B Hartsfield-Atlanta Intl,40,13
2/15/2016,ATL,William B Hartsfield-Atlanta Intl,29,1
2/17/2016,ATL,William B Hartsfield-Atlanta Intl,50,13
2/19/2016,ATL,William B Hartsfield-Atlanta Intl,34,16
2/21/2016,ATL,William B Hartsfield-Atlanta Intl,43,20
2/23/2016,ATL,William B Hartsfield-Atlanta Intl,25,3
2/25/2016,ATL,William B Hartsfield-Atlanta Intl,45,17
2/27/2016,ATL,William B Hartsfield-Atlanta Intl,32,12
2/29/2016,ATL,William B Hartsfield-Atlanta Intl,42,12
1/1/2016,DFW,Dallas-Fort Worth International,42,13
1/3/2016,DFW,Dallas-Fort Worth International,43,16
1/5/2016,DFW,Dallas-Fort Worth International,34,9
1/7/2016,DFW,Dallas-Fort Worth International,38,11
1/9/2016,DFW,Dallas-Fort Worth International,38,1
1/11/2016,DFW,Dallas-Fort Worth International,40,11
1/13/2016,DFW,Dallas-Fort Worth International,33,14
1/15/2016,DFW,Dallas-Fort Worth International,50,10
1/17/2016,DFW,Dallas-Fort Worth International,42,7
1/19/2016,DFW,Dallas-Fort Worth International,37,15
1/21/2016,DFW,Dallas-Fort Worth International,28,3
1/23/2016,DFW,Dallas-Fort Worth International,39,20
1/25/2016,DFW,Dallas-Fort Worth International,42,13
1/27/2016,DFW,Dallas-Fort Worth International,43,13
1/29/2016,DFW,Dallas-Fort Worth International,36,15
2/1/2016,DFW,Dallas-Fort Worth International,32,19
2/3/2016,DFW,Dallas-Fort Worth International,29,12
2/5/2016,DFW,Dallas-Fort Worth International,31,19
2/7/2016,DFW,Dallas-Fort Worth International,32,6
2/9/2016,DFW,Dallas-Fort Worth International,35,17
2/11/2016,DFW,Dallas-Fort Worth International,43,11
2/13/2016,DFW,Dallas-Fort Worth International,43,20
2/15/2016,DFW,Dallas-Fort Worth International,39,14
2/17/2016,DFW,Dallas-Fort Worth International,44,16
2/19/2016,DFW,Dallas-Fort Worth International,45,13
2/21/2016,DFW,Dallas-Fort Worth International,47,13
2/23/2016,DFW,Dallas-Fort Worth International,35,6
2/25/2016,DFW,Dallas-Fort Worth International,30,11
2/27/2016,DFW,Dallas-Fort Worth International,32,15
2/29/2016,DFW,Dallas-Fort Worth International,42,16
1/1/2016,PHX,Phoenix Sky Harbor International,43,12
1/3/2016,PHX,Phoenix Sky Harbor International,32,15
1/5/2016,PHX,Phoenix Sky Harbor International,29,14
1/7/2016,PHX,Phoenix Sky Harbor International,31,14
1/9/2016,PHX,Phoenix Sky Harbor International,45,2
1/11/2016,PHX,Phoenix Sky Harbor International,25,14
1/13/2016,PHX,Phoenix Sky Harbor International,32,4
1/15/2016,PHX,Phoenix Sky Harbor International,29,20
1/17/2016,PHX,Phoenix Sky Harbor International,31,10
1/19/2016,PHX,Phoenix Sky Harbor International,30,11
1/21/2016,PHX,Phoenix Sky Harbor International,36,12
1/23/2016,PHX,Phoenix Sky Harbor International,44,15
1/25/2016,PHX,Phoenix Sky Harbor International,35,12
1/27/2016,PHX,Phoenix Sky Harbor International,30,14
1/29/2016,PHX,Phoenix Sky Harbor International,42,10
2/1/2016,PHX,Phoenix Sky Harbor International,26,13
2/3/2016,PHX,Phoenix Sky Harbor International,41,10
2/5/2016,PHX,Phoenix Sky Harbor International,38,12
2/7/2016,PHX,Phoenix Sky Harbor International,34,16
2/9/2016,PHX,Phoenix Sky Harbor International,29,12
2/11/2016,PHX,Phoenix Sky Harbor International,33,3
2/13/2016,PHX,Phoenix Sky Harbor International,41,10
2/15/2016,PHX,Phoenix Sky Harbor International,44,11
2/17/2016,PHX,Phoenix Sky Harbor International,39,16
2/19/2016,PHX,Phoenix Sky Harbor International,37,6
2/21/2016,PHX,Phoenix Sky Harbor International,39,18
2/23/2016,PHX,Phoenix Sky Harbor International,25,10
2/25/2016,PHX,Phoenix Sky Harbor International,36,10
2/27/2016,PHX,Phoenix Sky Harbor International,41,2
2/29/2016,PHX,Phoenix Sky Harbor International,38,14
1/1/2016,DEN,Denver Intl,45,14
1/3/2016,DEN,Denver Intl,44,18
1/5/2016,DEN,Denver Intl,41,16
1/7/2016,DEN,Denver Intl,30,14
1/9/2016,DEN,Denver Intl,39,4
1/11/2016,DEN,Denver Intl,30,19
1/13/2016,DEN,Denver Intl,32,10
1/15/2016,DEN,Denver Intl,46,14
1/17/2016,DEN,Denver Intl,36,13
1/19/2016,DEN,Denver Intl,43,10
1/21/2016,DEN,Denver Intl,33,7
1/23/2016,DEN,Denver Intl,50,11
1/25/2016,DEN,Denver Intl,35,15
1/27/2016,DEN,Denver Intl,32,12
1/29/2016,DEN,Denver Intl,32,11
2/1/2016,DEN,Denver Intl,42,19
2/3/2016,DEN,Denver Intl,27,3
2/5/2016,DEN,Denver Intl,24,11
2/7/2016,DEN,Denver Intl,44,16
2/9/2016,DEN,Denver Intl,45,16
2/11/2016,DEN,Denver Intl,29,13
2/13/2016,DEN,Denver Intl,42,13
2/15/2016,DEN,Denver Intl,34,9
2/17/2016,DEN,Denver Intl,45,12
2/19/2016,DEN,Denver Intl,28,1
2/21/2016,DEN,Denver Intl,45,16
2/23/2016,DEN,Denver Intl,31,12
2/25/2016,DEN,Denver Intl,37,10
2/27/2016,DEN,Denver Intl,33,14
2/29/2016,DEN,Denver Intl,31,18
1/1/2016,IAH,George Bush Intercontinental,42,16
1/3/2016,IAH,George Bush Intercontinental,42,11
1/5/2016,IAH,George Bush Intercontinental,35,13
1/7/2016,IAH,George Bush Intercontinental,36,13
1/9/2016,IAH,George Bush Intercontinental,32,3
1/11/2016,IAH,George Bush Intercontinental,42,13
1/13/2016,IAH,George Bush Intercontinental,31,2
1/15/2016,IAH,George Bush Intercontinental,38,20
1/17/2016,IAH,George Bush Intercontinental,34,8
1/19/2016,IAH,George Bush Intercontinental,38,10
1/21/2016,IAH,George Bush Intercontinental,31,11
1/23/2016,IAH,George Bush Intercontinental,44,10
1/25/2016,IAH,George Bush Intercontinental,32,13
1/27/2016,IAH,George Bush Intercontinental,44,20
1/29/2016,IAH,George Bush Intercontinental,29,1
2/1/2016,IAH,George Bush Intercontinental,32,11
2/3/2016,IAH,George Bush Intercontinental,39,10
2/5/2016,IAH,George Bush Intercontinental,43,15
2/7/2016,IAH,George Bush Intercontinental,45,6
2/9/2016,IAH,George Bush Intercontinental,38,10
2/11/2016,IAH,George Bush Intercontinental,27,13
2/13/2016,IAH,George Bush Intercontinental,43,10
2/15/2016,IAH,George Bush Intercontinental,40,5
2/17/2016,IAH,George Bush Intercontinental,29,14
2/19/2016,IAH,George Bush Intercontinental,32,5
2/21/2016,IAH,George Bush Intercontinental,37,13
2/23/2016,IAH,George Bush Intercontinental,33,19
2/25/2016,IAH,George Bush Intercontinental,39,19
2/27/2016,IAH,George Bush Intercontinental,33,15
2/29/2016,IAH,George Bush Intercontinental,30,10
1/1/2016,SFO,San Francisco International,36,5
1/3/2016,SFO,San Francisco International,44,12
1/5/2016,SFO,San Francisco International,26,5
1/7/2016,SFO,San Francisco International,29,18
1/9/2016,SFO,San Francisco International,35,16
1/11/2016,SFO,San Francisco International,34,19
1/13/2016,SFO,San Francisco International,34,11
1/15/2016,SFO,San Francisco International,45,16
1/17/2016,SFO,San Francisco International,35,2
1/19/2016,SFO,San Francisco International,35,17
1/21/2016,SFO,San Francisco International,34,12
1/23/2016,SFO,San Francisco International,37,13
1/25/2016,SFO,San Francisco International,40,6
1/27/2016,SFO,San Francisco International,46,13
1/29/2016,SFO,San Francisco International,40,4
2/1/2016,SFO,San Francisco International,36,12
2/3/2016,SFO,San Francisco International,38,12
2/5/2016,SFO,San Francisco International,45,16
2/7/2016,SFO,San Francisco International,34,6
2/9/2016,SFO,San Francisco International,39,12
2/11/2016,SFO,San Francisco International,30,8
2/13/2016,SFO,San Francisco International,37,16
2/15/2016,SFO,San Francisco International,44,3
2/17/2016,SFO,San Francisco International,42,13
2/19/2016,SFO,San Francisco International,42,7
2/21/2016,SFO,San Francisco International,38,10
2/23/2016,SFO,San Francisco International,31,12
2/25/2016,SFO,San Francisco International,49,13
2/27/2016,SFO,San Francisco International,30,9
2/29/2016,SFO,San Francisco International,43,19
1/1/2016,LAX,Los Angeles International,43,17
1/3/2016,LAX,Los Angeles International,28,15
1/5/2016,LAX,Los Angeles International,41,20
1/7/2016,LAX,Los Angeles International,47,16
1/9/2016,LAX,Los Angeles International,41,10
1/11/2016,LAX,Los Angeles International,46,15
1/13/2016,LAX,Los Angeles International,25,19
1/15/2016,LAX,Los Angeles International,50,20
1/17/2016,LAX,Los Angeles International,35,12
1/19/2016,LAX,Los Angeles International,36,19
1/21/2016,LAX,Los Angeles International,45,11
1/23/2016,LAX,Los Angeles International,45,10
1/25/2016,LAX,Los Angeles International,34,5
1/27/2016,LAX,Los Angeles International,45,12
1/29/2016,LAX,Los Angeles International,44,12
2/1/2016,LAX,Los Angeles International,49,17
2/3/2016,LAX,Los Angeles International,28,5
2/5/2016,LAX,Los Angeles International,34,14
2/7/2016,LAX,Los Angeles International,39,13
2/9/2016,LAX,Los Angeles International,22,14
2/11/2016,LAX,Los Angeles International,45,18
2/13/2016,LAX,Los Angeles International,39,10
2/15/2016,LAX,Los Angeles International,43,10
2/17/2016,LAX,Los Angeles International,41,14
2/19/2016,LAX,Los Angeles International,35,5
2/21/2016,LAX,Los Angeles International,33,12
2/23/2016,LAX,Los Angeles International,45,11
2/25/2016,LAX,Los Angeles International,34,20
2/27/2016,LAX,Los Angeles International,38,12
2/29/2016,LAX,Los Angeles International,48,15
1/1/2016,MCO,Orlando International,42,8
1/3/2016,MCO,Orlando International,42,15
1/5/2016,MCO,Orlando International,32,8
1/7/2016,MCO,Orlando International,34,15
1/9/2016,MCO,Orlando International,32,13
1/11/2016,MCO,Orlando International,37,19
1/13/2016,MCO,Orlando International,34,15
1/15/2016,MCO,Orlando International,44,13
1/17/2016,MCO,Orlando International,33,9
1/19/2016,MCO,Orlando International,35,17
1/21/2016,MCO,Orlando International,33,9
1/23/2016,MCO,Orlando International,38,15
1/25/2016,MCO,Orlando International,32,11
1/27/2016,MCO,Orlando International,49,11
1/29/2016,MCO,Orlando International,28,16
2/1/2016,MCO,Orlando International,37,20
2/3/2016,MCO,Orlando International,29,13
2/5/2016,MCO,Orlando International,49,15
2/7/2016,MCO,Orlando International,39,15
2/9/2016,MCO,Orlando International,32,14
2/11/2016,MCO,Orlando International,30,2
2/13/2016,MCO,Orlando International,42,11
2/15/2016,MCO,Orlando International,32,3
2/17/2016,MCO,Orlando International,35,13
2/19/2016,MCO,Orlando International,33,13
2/21/2016,MCO,Orlando International,26,19
2/23/2016,MCO,Orlando International,41,1
2/25/2016,MCO,Orlando International,30,13
2/27/2016,MCO,Orlando International,41,4
2/29/2016,MCO,Orlando International,26,16
1/1/2016,CLT,Charlotte/Douglas International,36,2
1/3/2016,CLT,Charlotte/Douglas International,36,13
1/5/2016,CLT,Charlotte/Douglas International,39,16
1/7/2016,CLT,Charlotte/Douglas International,47,10
1/9/2016,CLT,Charlotte/Douglas International,43,10
1/11/2016,CLT,Charlotte/Douglas International,29,13
1/13/2016,CLT,Charlotte/Douglas International,35,12
1/15/2016,CLT,Charlotte/Douglas International,36,10
1/17/2016,CLT,Charlotte/Douglas International,35,1
1/19/2016,CLT,Charlotte/Douglas International,40,17
1/21/2016,CLT,Charlotte/Douglas International,43,11
1/23/2016,CLT,Charlotte/Douglas International,48,16
1/25/2016,CLT,Charlotte/Douglas International,34,17
1/27/2016,CLT,Charlotte/Douglas International,44,19
1/29/2016,CLT,Charlotte/Douglas International,42,10
2/1/2016,CLT,Charlotte/Douglas International,26,18
2/3/2016,CLT,Charlotte/Douglas International,31,13
2/5/2016,CLT,Charlotte/Douglas International,32,15
2/7/2016,CLT,Charlotte/Douglas International,33,6
2/9/2016,CLT,Charlotte/Douglas International,27,10
2/11/2016,CLT,Charlotte/Douglas International,39,8
2/13/2016,CLT,Charlotte/Douglas International,39,14
2/15/2016,CLT,Charlotte/Douglas International,37,14
2/17/2016,CLT,Charlotte/Douglas International,34,13
2/19/2016,CLT,Charlotte/Douglas International,31,8
2/21/2016,CLT,Charlotte/Douglas International,42,12
2/23/2016,CLT,Charlotte/Douglas International,33,3
2/25/2016,CLT,Charlotte/Douglas International,44,11
2/27/2016,CLT,Charlotte/Douglas International,26,11
2/29/2016,CLT,Charlotte/Douglas International,36,15
1/1/2016,SLC,Salt Lake City Intl,38,1
1/3/2016,SLC,Salt Lake City Intl,31,17
1/5/2016,SLC,Salt Lake City Intl,35,8
1/7/2016,SLC,Salt Lake City Intl,41,17
1/9/2016,SLC,Salt Lake City Intl,36,10
1/11/2016,SLC,Salt Lake City Intl,48,17
1/13/2016,SLC,Salt Lake City Intl,33,15
1/15/2016,SLC,Salt Lake City Intl,45,15
1/17/2016,SLC,Salt Lake City Intl,32,6
1/19/2016,SLC,Salt Lake City Intl,42,13
1/21/2016,SLC,Salt Lake City Intl,40,3
1/23/2016,SLC,Salt Lake City Intl,35,10
1/25/2016,SLC,Salt Lake City Intl,30,8
1/27/2016,SLC,Salt Lake City Intl,44,11
